year;site;phenotype;id;ps_flor;n_ovu;polen_type;max_polen;min_polen
2019;gualeguaychu;337;1;0.0136;5;grano de polen;18;16.5
2019;gualeguaychu;337;2;0.0164;4;grano de polen;25.5;13.5
2019;gualeguaychu;337;3;0.014;3;grano de polen;18;9
2019;gualeguaychu;337;4;0.0126;3;grano de polen;19.5;15
2019;gualeguaychu;337;5;0.0149;6;grano de polen;16.5;13.5
2019;gualeguaychu;337;6;0.0175;6;grano de polen;18;16.5
2019;gualeguaychu;337;7;0.0116;5;grano de polen;21;15
2019;gualeguaychu;337;8;0.0186;6;grano de polen;18;15
2019;gualeguaychu;337;9;0.013;5;grano de polen;18;15
2019;gualeguaychu;337;10;0.0138;3;grano de polen;18;18
2019;gualeguaychu;348;1;0.017;1;grano de polen;19.5;15
2019;gualeguaychu;348;2;0.0112;0;grano de polen;18;16.5
2019;gualeguaychu;348;3;0.017;4;grano de polen;16.5;15
2019;gualeguaychu;348;4;0.011;2;grano de polen;16.5;15
2019;gualeguaychu;348;5;0.015;1;grano de polen;16.5;13.5
2019;gualeguaychu;348;6;0.078;6;grano de polen;22.5;21
2019;gualeguaychu;348;7;0.0119;6;grano de polen;24;21
2019;gualeguaychu;348;8;0.011;1;grano de polen;24;22.5
2019;gualeguaychu;348;9;0.09;4;grano de polen;18;18
2019;gualeguaychu;348;10;0.0115;3;grano de polen;22.5;21
2019;gualeguaychu;357;1;0.063;2;microespora;18;13.5
2019;gualeguaychu;357;2;0.0117;3;microespora;18;15
2019;gualeguaychu;357;3;0.0131;4;microespora;22.5;18
2019;gualeguaychu;357;4;0.08;4;microespora;18;13.5
2019;gualeguaychu;357;5;0.09;3;microespora;15;15
2019;gualeguaychu;357;6;0.063;6;microespora;16.5;15
2019;gualeguaychu;357;7;0.081;4;microespora;18;15
2019;gualeguaychu;357;8;0.016;4;microespora;16.5;16.5
2019;gualeguaychu;357;9;0.012;4;microespora;16.5;15
2019;gualeguaychu;357;10;0.0121;5;microespora;21;16.5
2019;gualeguaychu;359;1;0.079;3;grano de polen;16.5;15
2019;gualeguaychu;359;2;0.068;4;grano de polen;21;19.5
2019;gualeguaychu;359;3;0.012;2;grano de polen;18;16.5
2019;gualeguaychu;359;4;0.013;3;grano de polen;15;16.5
2019;gualeguaychu;359;5;0.082;2;grano de polen;19.5;21
2019;gualeguaychu;359;6;0.0124;2;grano de polen;16.5;18
2019;gualeguaychu;359;7;0.0179;1;grano de polen;18;16.5
2019;gualeguaychu;359;8;0.0181;4;grano de polen;15;15
2019;gualeguaychu;359;9;0.011;4;grano de polen;15;13.5
2019;gualeguaychu;359;10;0.0156;4;NA;NA;NA
2019;gualeguaychu;362;1;0.018;4;grano de polen;27;16.5
2019;gualeguaychu;362;2;0.0153;5;grano de polen;21;21
2019;gualeguaychu;362;3;0.019;5;grano de polen;30;19.5
2019;gualeguaychu;362;4;0.0129;5;grano de polen;19.5;18
2019;gualeguaychu;362;5;0.0131;5;grano de polen;21;16.5
2019;gualeguaychu;362;6;0.0151;4;grano de polen;18;15
2019;gualeguaychu;362;7;0.0151;4;grano de polen;19.5;13.5
2019;gualeguaychu;362;8;0.0178;5;grano de polen;24;22.5
2019;gualeguaychu;362;9;0.014;4;grano de polen;24;22.5
2019;gualeguaychu;362;10;0.014;5;grano de polen;19.5;19.5
2019;gualeguaychu;363;1;0.0168;4;grano de polen;16.5;16.5
2019;gualeguaychu;363;2;0.0156;4;grano de polen;21;15
2019;gualeguaychu;363;3;0.013;6;grano de polen;16.5;12
2019;gualeguaychu;363;4;0.0146;4;grano de polen;16.5;16.5
2019;gualeguaychu;363;5;0.0168;5;grano de polen;21;19.5
2019;gualeguaychu;363;6;0.0165;4;grano de polen;15;15
2019;gualeguaychu;363;7;0.0176;4;grano de polen;22.5;18
2019;gualeguaychu;363;8;0.015;5;grano de polen;18;13.5
2019;gualeguaychu;363;9;0.0144;3;grano de polen;16.5;16.5
2019;gualeguaychu;363;10;0.0174;4;grano de polen;18;15
2019;gualeguaychu;364;1;0.0118;6;grano de polen;21;18
2019;gualeguaychu;364;2;0.021;3;grano de polen;22.5;15
2019;gualeguaychu;364;3;0.014;2;grano de polen;24;22.5
2019;gualeguaychu;364;4;0.021;4;grano de polen;24;22.5
2019;gualeguaychu;364;5;0.0171;4;grano de polen;27;25.5
2019;gualeguaychu;364;6;0.0154;6;grano de polen;24;19.5
2019;gualeguaychu;364;7;0.0167;4;grano de polen;22.5;21
2019;gualeguaychu;364;8;0.0167;6;grano de polen;21;15
2019;gualeguaychu;364;9;0.022;3;grano de polen;22.5;18
