"","year","site","phenotype","id","ps_flor","n_ovu","polen_type","max_polen2","min_polen2","max_polen","min_polen","mean_polen","ns"
"269","2019","PN El Palmar","281","4",9,3,"grano de polen",21,18,31.5,27,29.25,2
"270","2019","PN El Palmar","281","5",15,4,"grano de polen",15,10.5,22.5,15.75,19.125,1
"271","2019","PN El Palmar","281","6",9.2,6,"grano de polen",22.5,12,33.75,18,25.875,1
"272","2019","PN El Palmar","281","7",11.9,5,"grano de polen",21,19.5,31.5,29.25,30.375,NA
"273","2019","PN El Palmar","281","8",9.6,3,"grano de polen",21,13.5,31.5,20.25,25.875,NA
"274","2019","PN El Palmar","281","9",10.9,4,"grano de polen",21,13.5,31.5,20.25,25.875,NA
"275","2019","PN El Palmar","281","10",14.4,6,"grano de polen",18,18,27,27,27,NA
"276","2019","PN El Palmar","284","1",14.5,3,"grano de polen",15,15,22.5,22.5,22.5,2
"277","2019","PN El Palmar","284","2",17.1,4,"grano de polen",18,18,27,27,27,4
"278","2019","PN El Palmar","284","3",13.7,6,"grano de polen",21,19.5,31.5,29.25,30.375,1
"279","2019","PN El Palmar","284","4",13.4,4,"grano de polen",16.5,15,24.75,22.5,23.625,1
"280","2019","PN El Palmar","284","5",14.7,5,"grano de polen",18,18,27,27,27,2
"281","2019","PN El Palmar","284","6",14.8,6,"grano de polen",18,16.5,27,24.75,25.875,1
"282","2019","PN El Palmar","284","7",13.5,2,"grano de polen",22.5,19.5,33.75,29.25,31.5,3
"283","2019","PN El Palmar","284","8",9.3,1,"grano de polen",18,16.5,27,24.75,25.875,1
"284","2019","PN El Palmar","284","9",13.6,3,"grano de polen",19.5,19.5,29.25,29.25,29.25,2
"285","2019","PN El Palmar","284","10",16.2,6,"grano de polen",21,19.5,31.5,29.25,30.375,NA
"286","2019","PN El Palmar","285","1",15.3,6,"grano de polen",22.5,22.5,33.75,33.75,33.75,1
"287","2019","PN El Palmar","285","2",11.8,8,"grano de polen",21,18,31.5,27,29.25,1
"288","2019","PN El Palmar","285","3",15,7,"grano de polen",21,16.5,31.5,24.75,28.125,1
"289","2019","PN El Palmar","285","4",11,10,"grano de polen",21,15,31.5,22.5,27,2
"290","2019","PN El Palmar","285","5",11.4,6,"grano de polen",19.5,19.5,29.25,29.25,29.25,1
"291","2019","PN El Palmar","285","6",11.9,6,"grano de polen",22.5,16.5,33.75,24.75,29.25,1
"292","2019","PN El Palmar","285","7",14.2,3,"grano de polen",21,13.5,31.5,20.25,25.875,1
"293","2019","PN El Palmar","285","8",12,4,"grano de polen",21,19.5,31.5,29.25,30.375,1
"294","2019","PN El Palmar","285","9",11.3,6,"grano de polen",18,16.5,27,24.75,25.875,1
"295","2019","PN El Palmar","285","10",12.8,6,"grano de polen",21,15,31.5,22.5,27,1
"296","2019","PN El Palmar","285","11",NA,NA,NA,NA,NA,NA,NA,NA,1
"297","2019","PN El Palmar","285","12",NA,NA,NA,NA,NA,NA,NA,NA,1
"298","2019","PN El Palmar","286","1",9.3,3,"grano de polen",22.5,22.5,33.75,33.75,33.75,1
"299","2019","PN El Palmar","286","2",10.9,6,"grano de polen",22.5,21,33.75,31.5,32.625,1
"300","2019","PN El Palmar","286","3",12.3,5,"grano de polen",19.5,18,29.25,27,28.125,1
"301","2019","PN El Palmar","286","4",12.6,6,"grano de polen",22.5,22.5,33.75,33.75,33.75,2
"302","2019","PN El Palmar","286","5",9.8,5,"grano de polen",18,15,27,22.5,24.75,1
"303","2019","PN El Palmar","286","6",13.4,5,"grano de polen",25.5,24,38.25,36,37.125,1
"304","2019","PN El Palmar","286","7",12,4,"grano de polen",22.5,22.5,33.75,33.75,33.75,1
"305","2019","PN El Palmar","286","8",11.1,5,"grano de polen",22.5,21,33.75,31.5,32.625,1
"306","2019","PN El Palmar","286","9",11.5,3,"grano de polen",19.5,18,29.25,27,28.125,1
"307","2019","PN El Palmar","286","10",9.8,6,"grano de polen",24,22.5,36,33.75,34.875,1
"308","2019","PN El Palmar","286","11",NA,NA,NA,NA,NA,NA,NA,NA,1
